Date,Code,CommodityId,CommodityName,DistrictName,DistrictCode,Stock,CommodityStock
2021-01-25,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1251925.71
2021-01-25,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,146038.94,1251925.71
2021-01-26,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,748789.15,1312457.34
2021-01-26,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,120433.72,1312457.34
2021-01-26,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,183887.01,1312457.34
2021-01-26,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1312457.34
2021-01-26,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1312457.34
2021-01-26,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,146038.94,1312457.34
2021-01-27,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,797259.59,1385192.65
2021-01-27,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,119140.18,1385192.65
2021-01-27,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,210296.96,1385192.65
2021-01-27,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1385192.65
2021-01-27,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1385192.65
2021-01-27,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,145187.4,1385192.65
2021-01-28,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,797259.59,1411323.24
2021-01-28,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,118890.58,1411323.24
2021-01-28,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,210296.96,1411323.24
2021-01-28,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,83678.03,1411323.24
2021-01-28,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,29630.48,1411323.24
2021-01-28,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,171567.6,1411323.24
2021-01-29,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,792239.15,1406120.62
